Average_Price,Destination,Source,Weekend_Date
133.0,EWR,BOS,2017-20
133.0,EWR,BOS,2017-21
123.0,EWR,BOS,2017-22
123.0,EWR,BOS,2017-23
123.0,EWR,BOS,2017-24
133.0,EWR,BOS,2017-25
117.0,EWR,BOS,2017-26
117.0,EWR,BOS,2017-27
134.0,EWR,BOS,2017-28
123.0,EWR,BOS,2017-29
143.0,EWR,BOS,2017-30
124.0,EWR,BOS,2017-31
123.0,EWR,BOS,2017-32
0.0,EWR,BOS,2017-33
124.0,EWR,BOS,2017-34
733.5,FLL,BOS,2017-16
533.0,FLL,BOS,2017-17
359.0,FLL,BOS,2017-18
242.0,FLL,BOS,2017-19
303.5,FLL,BOS,2017-20
304.0,FLL,BOS,2017-21
341.0,FLL,BOS,2017-22
258.0,FLL,BOS,2017-23
229.0,FLL,BOS,2017-24
280.0,FLL,BOS,2017-25
296.0,FLL,BOS,2017-26
394.0,FLL,BOS,2017-27
460.0,FLL,BOS,2017-28
279.0,FLL,BOS,2017-29
280.0,FLL,BOS,2017-30
0.0,FLL,BOS,2017-31
280.0,FLL,BOS,2017-32
279.0,FLL,BOS,2017-33
447.0,FLL,BOS,2017-34
504.0,MCO,BOS,2017-16
353.0,MCO,BOS,2017-17
315.0,MCO,BOS,2017-18
301.5,MCO,BOS,2017-19
269.5,MCO,BOS,2017-20
304.0,MCO,BOS,2017-21
204.0,MCO,BOS,2017-22
214.0,MCO,BOS,2017-23
203.0,MCO,BOS,2017-24
293.0,MCO,BOS,2017-25
358.0,MCO,BOS,2017-26
237.0,MCO,BOS,2017-27
294.0,MCO,BOS,2017-28
307.0,MCO,BOS,2017-29
270.0,MCO,BOS,2017-30
365.5,MCO,BOS,2017-31
0.0,MCO,BOS,2017-32
350.0,MCO,BOS,2017-33
0.0,MCO,BOS,2017-34
816.0,SFO,BOS,2017-16
598.0,SFO,BOS,2017-17
334.6666666666667,SFO,BOS,2017-18
346.3333333333333,SFO,BOS,2017-19
361.6666666666667,SFO,BOS,2017-20
447.5,SFO,BOS,2017-21
362.0,SFO,BOS,2017-22
325.0,SFO,BOS,2017-23
362.0,SFO,BOS,2017-24
428.0,SFO,BOS,2017-25
453.0,SFO,BOS,2017-26
548.5,SFO,BOS,2017-27
498.0,SFO,BOS,2017-28
460.0,SFO,BOS,2017-29
428.0,SFO,BOS,2017-30
311.5,SFO,BOS,2017-31
447.0,SFO,BOS,2017-32
430.0,SFO,BOS,2017-33
377.5,SFO,BOS,2017-34
498.0,RSW,BOS,2017-16
457.0,RSW,BOS,2017-17
495.5,RSW,BOS,2017-18
408.5,RSW,BOS,2017-19
394.0,RSW,BOS,2017-20
785.0,RSW,BOS,2017-21
274.0,RSW,BOS,2017-22
0.0,RSW,BOS,2017-23
232.0,RSW,BOS,2017-24
0.0,RSW,BOS,2017-25
0.0,RSW,BOS,2017-26
258.0,RSW,BOS,2017-27
0.0,RSW,BOS,2017-28
286.0,RSW,BOS,2017-29
0.0,RSW,BOS,2017-30
0.0,RSW,BOS,2017-31
0.0,RSW,BOS,2017-32
0.0,RSW,BOS,2017-33
0.0,RSW,BOS,2017-34
421.0,DTW,BOS,2017-16
